"","corpusngram4","n"
"1","the end of the",217
"2","at the end of",201
"3","the rest of the",186
"4","for the first time",164
"5","at the same time",130
"6","is one of the",126
"7","one of the most",122
"8","in the middle of",120
"9","when it comes to",111
"10","to be able to",101
"11","one of the best",93
"12","if you want to",89
"13","thanks for the follow",88
"14","is going to be",79
"15","going to be a",77
"16","the middle of the",76
"17","the top of the",67
"18","on the other hand",66
"19","as well as the",65
"20","i was going to",65
"21","in the united states",62
"22","going to have to",60
"23","by the end of",59
"24","said in a statement",59
"25","was one of the",59
"26","at the university of",58
"27","will be able to",58
"28","i dont want to",57
"29","i would like to",57
"30","a little bit of",55
"31","cant wait to see",55
"32","i am going to",55
"33","a lot of people",54
"34","in front of the",54
"35","one of my favorite",53
"36","the bottom of the",52
"37","a bit of a",51
"38","for the rest of",50
"39","as part of the",49
"40","i was able to",49
"41","the back of the",47
"42","at the top of",46
"43","have a lot of",46
"44","its going to be",46
"45","are going to be",45
"46","as a result of",44
"47","for the most part",44
"48","in the first place",44
"49","most of the time",44
"50","thank you for the",44
"51","the first time in",44
"52","what do you think",44
"53","there are so many",43
"54","a member of the",42
"55","to go to the",42
"56","we are going to",42
"57","i want to be",41
"58","was going to be",41
"59","i have to say",40
"60","as one of the",39
"61","i cant wait to",39
"62","i don’ want to",39
"63","in addition to the",39
"64","as much as i",38
"65","for a couple of",38
"66","if you have a",38
"67","in one of the",38
"68","thanks for the rt",38
"69","a few years ago",37
"70","a lot of time",37
"71","i would love to",36
"72","thank you so much",36
"73","the best way to",36
"74","end of the day",35
"75","i wish i could",35
"76","in a way that",35
"77","nothing to do with",35
"78","to be in the",35
"79","i dont know if",34
"80","in the midst of",34
"81","to do with the",34
"82","turned out to be",34
"83","as soon as i",33
"84","as you can see",33
"85","for a long time",33
"86","i have no idea",33
"87","in the first half",33
"88","should be able to",33
"89","the fact that the",33
"90","the side of the",33
"91","a great deal of",32
"92","and one of the",32
"93","i just want to",32
"94","is one of my",32
"95","looking forward to the",32
"96","the fact that i",32
"97","the first time since",32
"98","those of you who",32
"99","for those of you",31
"100","i feel like i",31
"101","on top of the",31
"102","a couple of weeks",30
"103","a couple of years",30
"104","as part of a",30
"105","as well as a",30
"106","for most of the",30
"107","on my way to",30
"108","the front of the",30
"109","the name of the",30
"110","the other side of",30
"111","when i was a",30
"112","a lot of the",29
"113","at the beginning of",29
"114","for more than a",29
"115","in the back of",29
"116","in the form of",29
"117","not going to be",29
"118","there will be a",29
"119","to be part of",29
"120","to come up with",29
"121","all over the world",28
"122","in the first round",28
"123","in the second half",28
"124","this is one of",28
"125","this is the first",28
"126","to get out of",28
"127","with the help of",28
"128","a few weeks ago",27
"129","a great way to",27
"130","at a time when",27
"131","in the face of",27
"132","one of the things",27
"133","thanks so much for",27
"134","the center of the",27
"135","the new york times",27
"136","to get rid of",27
"137","you are going to",27
"138","at the age of",26
"139","be one of the",26
"140","come up with a",26
"141","let me know if",26
"142","on the other side",26
"143","to get to the",26
"144","you dont have to",26
"145","a spokesman for the",25
"146","be a part of",25
"147","i dont know what",25
"148","in new york city",25
"149","once in a while",25
"150","one of the first",25
"151","player of the year",25
"152","some of the best",25
"153","some of the most",25
"154","the size of the",25
"155","to the united states",25
"156","you have to be",25
"157","a part of the",24
"158","all the way to",24
"159","had a lot of",24
"160","it would be a",24
"161","know what to do",24
"162","my husband and i",24
"163","the beginning of the",24
"164","to be one of",24
"165","to get back to",24
"166","to make sure that",24
"167","a few of the",23
"168","are a lot of",23
"169","contributed to this report",23
"170","find a way to",23
"171","i am not a",23
"172","i didnt want to",23
"173","i have to admit",23
"174","i wish i was",23
"175","im looking forward to",23
"176","in a lot of",23
"177","in the name of",23
"178","in the same way",23
"179","on the side of",23
"180","on the verge of",23
"181","over and over again",23
"182","the heart of the",23
"183","to go back to",23
"184","trying to figure out",23
"185","would be a good",23
"186","you have to do",23
"187","and a lot of",22
"188","despite the fact that",22
"189","do you have any",22
"190","fell in love with",22
"191","from time to time",22
"192","he was going to",22
"193","hope to see you",22
"194","i just wanted to",22
"195","i thought it was",22
"196","in front of me",22
"197","in the case of",22
"198","in the process of",22
"199","in the way of",22
"200","is part of the",22
"201","it was one of",22
"202","it was the first",22
"203","of one of the",22
"204","of the united states",22
"205","one of the few",22
"206","open to the public",22
"207","other side of the",22
"208","over the course of",22
"209","there are a lot",22
"210","theres a lot of",22
"211","this is not a",22
"212","to be on the",22
"213","with a lot of",22
"214","with some of the",22
"215","and i know that",21
"216","as much as possible",21
"217","at the bottom of",21
"218","at the time of",21
"219","had a chance to",21
"220","i dont know how",21
"221","i need to get",21
"222","i really wanted to",21
"223","i think it is",21
"224","i thought i would",21
"225","i want to do",21
"226","i want to go",21
"227","i was trying to",21
"228","i wish i had",21
"229","in the history of",21
"230","it was a good",21
"231","it was a great",21
"232","let me tell you",21
"233","looking forward to seeing",21
"234","the end of this",21
"235","the first time i",21
"236","the past two years",21
"237","the way to the",21
"238","this is going to",21
"239","this time of year",21
"240","thought it would be",21
"241","to be a part",21
"242","to take care of",21
"243","wait to see you",21
"244","a couple of days",20
"245","a lot of fun",20
"246","and as a result",20
"247","and i will be",20
"248","as long as you",20
"249","be part of the",20
"250","by the time the",20
"251","for all of the",20
"252","for the sake of",20
"253","get out of the",20
"254","i have to do",20
"255","i look forward to",20
"256","in and out of",20
"257","it has been a",20
"258","like a lot of",20
"259","not to mention the",20
"260","one of the biggest",20
"261","the middle of a",20
"262","the us department of",20
"263","this is not the",20
"264","this is what i",20
"265","to the end of",20
"266","you need to do",20
"267","you want to be",20
"268","a couple of times",19
"269","and i have to",19
"270","beep beep beep beep",19
"271","figure out how to",19
"272","going to be the",19
"273","have a great day",19
"274","he said he was",19
"275","hundreds of thousands of",19
"276","i am trying to",19
"277","i dont have a",19
"278","if you have any",19
"279","im not going to",19
"280","in an effort to",19
"281","in the third quarter",19
"282","it needs to be",19
"283","know what you think",19
"284","more than a decade",19
"285","not be able to",19
"286","said in an interview",19
"287","so i decided to",19
"288","the start of the",19
"289","to give it a",19
"290","to keep up with",19
"291","to one of the",19
"292","to the point where",19
"293","what are you doing",19
"294","you would like to",19
"295","and i had to",18
"296","and the rest of",18
"297","are you going to",18
"298","as soon as possible",18
"299","but in the end",18
"300","but you have to",18
"301","did not want to",18
"302","executive director of the",18
"303","give it a try",18
"304","have a great weekend",18
"305","have been able to",18
"306","have no idea how",18
"307","have to go to",18
"308","i dont think i",18
"309","i felt like i",18
"310","if you are a",18
"311","if you dont have",18
"312","if you would like",18
"313","in the first quarter",18
"314","in the hands of",18
"315","in the living room",18
"316","in the world and",18
"317","it was time to",18
"318","out of the way",18
"319","that it would be",18
"320","that there is a",18
"321","that this is the",18
"322","the end of a",18
"323","the number of people",18
"324","the only thing that",18
"325","the time of the",18
"326","the us supreme court",18
"327","there are plenty of",18
"328","there is a lot",18
"329","to say the least",18
"330","want to be a",18
"331","want to make sure",18
"332","was supposed to be",18
"333","what to do with",18
"334","would be able to",18
"335","you just have to",18
"336","a chance to win",17
"337","a long way to",17
"338","a lot of things",17
"339","a lot of work",17
"340","a trip to the",17
"341","and the fact that",17
"342","as a way to",17
"343","as far as i",17
"344","be able to get",17
"345","did you know that",17
"346","for a few days",17
"347","get a chance to",17
"348","here are a few",17
"349","hope you have a",17
"350","i can tell you",17
"351","i dont know why",17
"352","i had to go",17
"353","i really want to",17
"354","i thought it would",17
"355","im going to be",17
"356","in a long time",17
"357","in front of a",17
"358","in the fourth quarter",17
"359","in the right direction",17
"360","in the world i",17
"361","is not going to",17
"362","it will be a",17
"363","it would have been",17
"364","looking forward to it",17
"365","me know if you",17
"366","not the only one",17
"367","on a regular basis",17
"368","one of the largest",17
"369","the edge of the",17
"370","the state department of",17
"371","the united states and",17
"372","there you have it",17
"373","to figure out what",17
"374","to share with you",17
"375","to the fact that",17
"376","want to go to",17
"377","was a lot of",17
"378","what i want to",17
"379","you can see the",17
"380","you need to be",17
"381","a lot of them",16
"382","and i want to",16
"383","are some of the",16
"384","as long as i",16
"385","at the center of",16
"386","at the time i",16
"387","be able to do",16
"388","do the right thing",16
"389","do you have a",16
"390","end of the year",16
"391","for a few minutes",16
"392","happy mothers day to",16
"393","have no idea what",16
"394","i have to be",16
"395","i really need to",16
"396","i thought i was",16
"397","i was a kid",16
"398","in an attempt to",16
"399","in the city of",16
"400","in the second quarter",16
"401","in the wake of",16
"402","is expected to be",16
"403","is the first time",16
"404","it is time to",16
"405","make it to the",16
"406","on the part of",16
"407","out of the house",16
"408","quite a lot of",16
"409","thank you for your",16
"410","that one of the",16
"411","the cost of the",16
"412","the course of the",16
"413","the first day of",16
"414","the first half of",16
"415","the last couple of",16
"416","the right thing to",16
"417","the size of a",16
"418","to check it out",16
"419","to check out the",16
"420","to say that i",16
"421","up and down the",16
"422","was the first time",16
"423","we went to the",16
"424","what is going on",16
"425","with all of the",16
"426","would love to see",16
"427","would you like to",16
"428","you dont want to",16
"429","a good place to",15
"430","all over the place",15
"431","are not going to",15
"432","as far as the",15
"433","at the height of",15
"434","both sides of the",15
"435","but i have to",15
"436","by the time i",15
"437","do not want to",15
"438","do you want to",15
"439","dont want to be",15
"440","for me it was",15
"441","for the second time",15
