"","corpusngram1","n"
"1","the",131629
"2","to",71746
"3","and",68091
"4","a",63195
"5","of",56431
"6","in",44206
"7","i",38789
"8","that",28180
"9","is",27690
"10","for",27079
"11","it",23078
"12","on",20657
"13","you",19548
"14","with",19249
"15","was",17477
"16","at",14520
"17","this",14102
"18","as",13825
"19","my",13779
"20","be",13713
"21","have",13568
"22","but",12769
"23","he",12476
"24","are",12410
"25","not",10654
"26","we",10629
"27","from",10568
"28","so",9172
"29","by",9007
"30","said",8808
"31","his",8751
"32","they",8698
"33","or",8493
"34","will",8242
"35","all",8098
"36","an",8066
"37","me",7933
"38","one",7615
"39","about",7552
"40","has",7328
"41","its",7306
"42","up",7184
"43","out",6991
"44","just",6849
"45","when",6824
"46","if",6788
"47","who",6727
"48","what",6539
"49","more",6400
"50","like",6353
"51","your",6332
"52","had",6296
"53","can",6183
"54","her",6020
"55","were",5897
"56","their",5883
"57","she",5648
"58","there",5576
"59","do",5530
"60","would",5490
"61","time",5443
"62","been",5264
"63","some",5218
"64","get",4991
"65","our",4832
"66","no",4802
"67","new",4703
"68","them",4324
"69","which",4225
"70","now",4134
"71","how",4104
"72","people",3990
"73","im",3802
"74","also",3790
"75","into",3789
"76","good",3771
"77","than",3769
"78","know",3756
"79","first",3743
"80","us",3729
"81","after",3641
"82","other",3590
"83","day",3588
"84","over",3425
"85","because",3398
"86","back",3389
"87","only",3296
"88","him",3292
"89","then",3290
"90","two",3240
"91","make",3172
"92","last",3164
"93","love",3091
"94","see",3077
"95","go",3053
"96","could",3050
"97","year",3019
"98","much",2982
"99","going",2924
"100","even",2919
"101","think",2915
"102","well",2890
"103","way",2858
"104","really",2775
"105","dont",2769
"106","years",2750
"107","am",2632
"108","most",2612
"109","too",2528
"110","very",2523
"111","those",2509
"112","where",2498
"113","many",2496
"114","work",2494
"115","still",2492
"116","want",2492
"117","any",2464
"118","did",2462
"119","got",2459
"120","off",2454
"121","before",2446
"122","right",2415
"123","little",2393
"124","great",2391
"125","here",2381
"126","these",2362
"127","down",2256
"128","while",2237
"129","being",2230
"130","made",2225
"131","through",2197
"132","say",2161
"133","home",2151
"134","life",2149
"135","take",2138
"136","today",2127
"137","may",2120
"138","should",2102
"139","need",2071
"140","never",1946
"141","things",1931
"142","week",1872
"143","something",1865
"144","state",1859
"145","come",1844
"146","best",1815
"147","another",1810
"148","around",1788
"149","school",1780
"150","next",1757
"151","three",1740
"152","world",1737
"153","every",1726
